date_time,total_sessions
2020-11-01,2594
2020-11-02,3682
2020-11-03,5281
2020-11-04,4280
2020-11-05,3794
2020-11-06,3264
2020-11-07,2239
2020-11-08,2132
2020-11-09,3227
2020-11-10,3781
2020-11-11,3764
2020-11-12,3631
2020-11-13,3299
2020-11-14,2334
2020-11-15,2190
2020-11-16,3495
2020-11-17,4011
2020-11-18,4092
2020-11-19,4150
2020-11-20,4083
2020-11-21,3151
2020-11-22,2650
2020-11-23,3914
2020-11-24,4169
2020-11-25,4292
2020-11-26,4058
2020-11-27,3928
2020-11-28,3345
2020-11-29,3206
2020-11-30,4514
