event_name,clean_page_location,unique_users
page_view,shop.googlemerchandisestore.com,34644
view_promotion,shop.googlemerchandisestore.com,34403
user_engagement,shop.googlemerchandisestore.com,30102
session_start,shop.googlemerchandisestore.com,26810
first_visit,shop.googlemerchandisestore.com,22214
page_view,googlemerchandisestore.com,21189
session_start,googlemerchandisestore.com,20293
scroll,googlemerchandisestore.com,19535
user_engagement,googlemerchandisestore.com,18943
first_visit,googlemerchandisestore.com,18151
scroll,shop.googlemerchandisestore.com,11337
page_view,shop.googlemerchandisestore.com/store,9571
page_view,shop.googlemerchandisestore.com/basket,9076
page_view,shop.googlemerchandisestore.com/signin,8989
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel,8867
page_view,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,8728
user_engagement,shop.googlemerchandisestore.com/basket,8622
user_engagement,shop.googlemerchandisestore.com/signin,8603
user_engagement,shop.googlemerchandisestore.com/store,8531
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,8237
page_view,shop.googlemerchandisestore.com/Google+Redesign/Clearance,8119
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Clearance,7755
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,7666
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel,7533
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,7114
session_start,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,6961
page_view,shop.googlemerchandisestore.com/Google+Redesign/New,6714
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,6685
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/New,6347
page_view,shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,5971
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,5958
scroll,shop.googlemerchandisestore.com/basket,5910
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,5746
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,5538
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,5249
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,5196
view_promotion,shop.googlemerchandisestore.com/store,5183
page_view,shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,5115
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,4976
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,4954
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,4848
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,4775
page_view,shop.googlemerchandisestore.com/asearch,4757
scroll,shop.googlemerchandisestore.com/signin,4719
view_search_results,shop.googlemerchandisestore.com/asearch,4615
scroll,shop.googlemerchandisestore.com/store,4326
session_start,shop.googlemerchandisestore.com/Google+Redesign/Apparel,4322
user_engagement,shop.googlemerchandisestore.com/asearch,4247
page_view,shop.googlemerchandisestore.com/yourinfo,4212
begin_checkout,shop.googlemerchandisestore.com/yourinfo,4209
add_shipping_info,shop.googlemerchandisestore.com/yourinfo,4207
scroll,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,4176
page_view,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,3977
scroll,shop.googlemerchandisestore.com/Google+Redesign/Clearance,3902
user_engagement,shop.googlemerchandisestore.com/yourinfo,3854
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Google,3810
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,3713
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Apparel,3688
scroll,shop.googlemerchandisestore.com/Google+Redesign/New,3652
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,3626
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,3563
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods,3354
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods,3278
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids,3112
page_view,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,3063
page_view,shop.googlemerchandisestore.com/Google+Redesign/Stationery,3033
scroll,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,2993
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,2988
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids,2956
scroll,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,2883
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,2825
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Stationery,2823
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel,2739
page_view,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,2673
scroll,shop.googlemerchandisestore.com/asearch,2656
page_view,shop.googlemerchandisestore.com/store-policies/frequently-asked-questions,2653
view_item,shop.googlemerchandisestore.com/Google+Redesign/Clearance,2643
page_view,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Notebooks,2642
session_start,shop.googlemerchandisestore.com/store,2607
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Notebooks,2543
scroll,shop.googlemerchandisestore.com/Google+Redesign/eco+friendly,2536
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Stickers,2483
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,2370
scroll,shop.googlemerchandisestore.com/yourinfo,2365
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Socks,2312
select_promotion,shop.googlemerchandisestore.com,2311
user_engagement,shop.googlemerchandisestore.com/store-policies/frequently-asked-questions,2291
page_view,shop.googlemerchandisestore.com/registersuccess,2281
user_engagement,shop.googlemerchandisestore.com/registersuccess,2255
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Hats,2222
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Socks,2217
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Womens,2208
session_start,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,2186
scroll,shop.googlemerchandisestore.com/Google+Redesign/Campus+Collection,2139
page_view,shop.googlemerchandisestore.com/payment,2122
add_payment_info,shop.googlemerchandisestore.com/payment,2121
view_item,shop.googlemerchandisestore.com/store,2117
scroll,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Small+Goods,2070
user_engagement,shop.googlemerchandisestore.com/payment,2063
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,2030
page_view,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android,1972
page_view,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand,1942
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens/Mens+T+Shirts,1941
page_view,shop.googlemerchandisestore.com/Google+Redesign/Super+G+Unisex+Joggers,1933
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/Android,1902
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Cotopaxi+Shell,1893
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Super+G+Unisex+Joggers,1876
first_visit,shop.googlemerchandisestore.com/store,1868
view_item,shop.googlemerchandisestore.com/asearch,1863
page_view,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Writing,1829
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand,1820
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Cotopaxi+Shell,1808
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel,1795
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Stationery/Writing,1793
session_start,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,1752
scroll,shop.googlemerchandisestore.com/registersuccess,1694
view_item,shop.googlemerchandisestore.com/Google+Redesign/New,1645
view_item,shop.googlemerchandisestore.com/Google+Redesign/Super+G+Unisex+Joggers,1633
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Twill+Cap+Sandwich+Black,1624
view_item,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Twill+Cap+Sandwich+Black,1621
page_view,shop.googlemerchandisestore.com/ordercompleted,1603
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/YouTube+Twill+Cap+Sandwich+Black,1601
scroll,shop.googlemerchandisestore.com/payment,1587
page_view,shop.googlemerchandisestore.com/myaccount,1581
scroll,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Kids,1574
page_view,shop.googlemerchandisestore.com/revieworder,1564
user_engagement,shop.googlemerchandisestore.com/revieworder,1560
user_engagement,shop.googlemerchandisestore.com/myaccount,1553
purchase,shop.googlemerchandisestore.com/ordercompleted,1531
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Zip+Hoodie+FC,1529
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Zip+Hoodie+FC,1479
session_start,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Mens,1437
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,1428
scroll,shop.googlemerchandisestore.com/revieworder,1425
view_item,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Bags,1420
user_engagement,shop.googlemerchandisestore.com/ordercompleted,1413
view_item,shop.googlemerchandisestore.com/Google+Redesign/Shop+by+Brand/YouTube,1405
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Dino+Game+Tee,1372
scroll,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle,1361
page_view,shop.googlemerchandisestore.com/store-policies/shipping-information,1357
page_view,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Unisex+Eco+Tee+Black,1353
scroll,shop.googlemerchandisestore.com/Google+Redesign/Stationery,1328
user_engagement,shop.googlemerchandisestore.com/Google+Redesign/Apparel/Google+Unisex+Eco+Tee+Black,1324
first_visit,shop.googlemerchandisestore.com/Google+Redesign/Lifestyle/Drinkware,1309
